task,state,template,seed,pool,replay_group,dx_m,dy_m,dyaw_rad,output
0,3,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t0_s3
1,4,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t1_s4
2,5,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t2_s5
3,3,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t3_s3
4,4,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t4_s4
5,5,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t5_s5
6,3,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t6_s3
7,4,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t7_s4
8,5,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t8_s5
9,3,P0,42,smoke,,0.0,0.0,0.0,smoke_P0_t9_s3
0,5,P1,42,smoke,,0.005,0.0,0.0,smoke_P1_t0_s5
1,6,P2,43,smoke,,-0.005,0.0,0.0,smoke_P2_t1_s6
2,7,P3,44,smoke,,0.0,0.005,0.0,smoke_P3_t2_s7
3,5,P4,45,smoke,,0.0,-0.005,0.0,smoke_P4_t3_s5
4,6,P5,46,smoke,,0.0,0.0,0.087266,smoke_P5_t4_s6
5,7,P6,47,smoke,,0.0,0.0,-0.087266,smoke_P6_t5_s7
6,5,P7,48,smoke,,random_10mm,random_10mm,0.0,smoke_P7_t6_s5
7,6,P1,49,smoke,,0.005,0.0,0.0,smoke_P1_t7_s6
8,7,P2,50,smoke,,-0.005,0.0,0.0,smoke_P2_t8_s7
9,5,P3,51,smoke,,0.0,0.005,0.0,smoke_P3_t9_s5
0,3,P0,42,smoke,A,0.0,0.0,0.0,smoke_P0_replay_A_t0_s3
5,10,P7,99,smoke,B,random_10mm,random_10mm,0.0,smoke_P7_replay_B_t5_s10
