condition,protocol_field,artifact_value,config_value,manifest_value,launch_value,log_value,code_default_value,resolved_value,resolution_status,source_path,source_sha256,artifact_time_compatible,notes,value_source_path,value_source_sha256,binding_source_path,binding_source_sha256,binding_status,negative_search_roots,negative_search_terms,negative_search_files_examined,negative_search_hits,conflicting_sources,unique_sha_count,sha_value,episode_count
CLEAN,preprocessing_backend,upstream_tf_jpeg,UNKNOWN,upstream_tf_jpeg,UNKNOWN,UNKNOWN,UNKNOWN,upstream_tf_jpeg,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,,,,
CLEAN,jpeg_roundtrip,true,UNKNOWN,true,UNKNOWN,UNKNOWN,UNKNOWN,true,RECOVERED,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,PARTIAL,targeted artifact/config/manifest/log/git search completed,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,/mnt/sdc/dty_user/openvla_attack/evidence/sc5_object_privileged_loto_v1/vis_heldout_formal_v1/**/episode_summary.json,PER_ROW_SUMMARY_SHA_IN_OBJECT_LEDGER,FORMAL_ARTIFACT_BOUND,,,,,,,,
CLEAN,epsilon,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,epsilon_space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,pgd_steps,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,step_size,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,K,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,target_token,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,objective,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
CLEAN,route,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE,NO_SINGLE_VALUE_SOURCE,UNKNOWN,NO_EVIDENCE,unresolved; deterministic negative-search command ledger not sufficient for stronger unrecoverable claim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO_VALUE_TO_BIND,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,TARGETED_SEARCH_SETS_RECORDED_IN_AUDIT_SCRIPTS,0_VALUE_BINDING_HITS,none confirmed,,,
